Frequency= 2400 MHz, Cantenna
Theta (radians), dBm
4.084070449666731051e+00,-7.540457915999999727e+01
4.118977034706617246e+00,-7.581011963000000264e+01
4.153883619746504330e+00,-7.706312561000000017e+01
4.188790204786390525e+00,-7.549322510000000364e+01
4.223696789826277609e+00,-7.509770202999999356e+01
4.258603374866163804e+00,-7.429611205999999868e+01
4.293509959906050888e+00,-7.356826782000000264e+01
4.328416544945937083e+00,-7.353340149000000281e+01
4.363323129985823279e+00,-7.220590973000000190e+01
4.398229715025710362e+00,-7.141168213000000264e+01
4.433136300065597446e+00,-6.949356842000000256e+01
4.468042885105483641e+00,-7.152526093000000174e+01
4.502949470145369837e+00,-7.138433075000000372e+01
4.537856055185256920e+00,-7.064640808000000050e+01
4.572762640225144004e+00,-7.046730804000000603e+01
4.607669225265030200e+00,-6.965911864999999636e+01
4.642575810304916395e+00,-6.931029510000000471e+01
4.677482395344802590e+00,-6.916795349000000215e+01
4.712388980384689674e+00,-6.784589386000000388e+01
4.747295565424576758e+00,-6.711764526000000330e+01
4.782202150464462953e+00,-6.645662688999999546e+01
4.817108735504349148e+00,-6.565338135000000364e+01
4.852015320544236232e+00,-6.494792175000000611e+01
4.886921905584122428e+00,-6.404817963000000702e+01
4.921828490624008623e+00,-6.413842010000000471e+01
4.956735075663895707e+00,-6.285248184000000293e+01
4.991641660703782790e+00,-6.315179824999999880e+01
5.026548245743668986e+00,-6.006171798999999822e+01
5.061454830783555181e+00,-6.279146193999999781e+01
5.096361415823442265e+00,-6.154370499000000194e+01
5.131268000863329348e+00,-6.181458281999999826e+01
5.166174585903215544e+00,-6.070075606999999707e+01
5.201081170943101739e+00,-6.034515380999999934e+01
5.235987755982988823e+00,-5.947303009000000174e+01
5.270894341022875018e+00,-5.914854813000000178e+01
5.305800926062761214e+00,-5.798408890000000326e+01
5.340707511102648297e+00,-5.810488509999999707e+01
5.375614096142535381e+00,-5.709345626999999723e+01
5.410520681182421576e+00,-5.654796600000000240e+01
5.445427266222307772e+00,-5.614921569999999917e+01
5.480333851262193967e+00,-5.586866760000000198e+01
5.515240436302081051e+00,-5.567012787000000174e+01
5.550147021341968134e+00,-5.545512389999999669e+01
5.585053606381854330e+00,-5.539751815999999707e+01
5.619960191421740525e+00,-5.506621933000000269e+01
5.654866776461627609e+00,-5.501535796999999661e+01
5.689773361501513804e+00,-5.482957076999999657e+01
5.724679946541400000e+00,-5.478504944000000165e+01
5.759586531581287083e+00,-5.451933669999999665e+01
5.794493116621174167e+00,-5.458068847999999917e+01
5.829399701661061250e+00,-5.456092453000000120e+01
5.864306286700947446e+00,-5.472058867999999876e+01
5.899212871740833641e+00,-5.483807755000000128e+01
5.934119456780720725e+00,-5.495353317000000004e+01
5.969026041820606920e+00,-5.516268157999999744e+01
6.003932626860493116e+00,-5.545415878000000021e+01
6.038839211900380199e+00,-5.564896774000000335e+01
6.073745796940266395e+00,-5.597013473999999889e+01
6.108652381980152590e+00,-5.646549988000000297e+01
6.143558967020039674e+00,-5.678452301000000091e+01
6.178465552059926758e+00,-5.719272613999999777e+01
6.213372137099813841e+00,-5.803990555000000029e+01
6.248278722139700037e+00,-5.837586212000000074e+01
